title,score,genres,ranked,popularity,members,favorites
Kimi no Na wa.,8.83,"Award Winning, Drama",#31,#11,"2,823,873","91,785"
Mob Psycho 100 II,8.79,"Action, Comedy, Supernatural",#36,#74,"1,590,221","32,897"
Jujutsu Kaisen 2nd Season,8.79,"Action, Supernatural, Gore, School, Shounen",#35,#144,"1,084,218","23,480"
Shingeki no Kyojin: The Final Season,8.78,"Action, Drama, Suspense, Gore, Military, Survival, Shounen",#38,#33,"2,081,467","52,579"
Boku no Kokoro no Yabai Yatsu 2nd Season,8.79,"Comedy, Romance, School, Shounen",#37,#1132,"224,778","4,925"
Monogatari Series: Off & Monster Season,8.78,"Comedy, Mystery, Supernatural, Vampire",#40,#2580,"75,741",714
Bocchi the Rock!,8.77,"Comedy, CGDCT, Music",#41,#350,"638,043","30,601"
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,"Sports, School, Team Sports, Shounen",#42,#115,"1,242,183","15,662"
Kizumonogatari III: Reiketsu-hen,8.78,"Action, Mystery, Supernatural, Vampire",#39,#492,"477,912","7,726"
Hajime no Ippo,8.77,"Sports, Combat Sports, Shounen",#43,#363,"622,617","22,998"
Monogatari Series: Second Season,8.76,"Comedy, Mystery, Romance, Supernatural, Vampire",#47,#314,"684,790","23,739"
Sen to Chihiro no Kamikakushi,8.77,"Adventure, Award Winning, Fantasy, Mythology",#44,#44,"1,905,180","33,492"
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.75,"Comedy, Drama, Romance, School, Seinen",#48,#861,"299,444","2,045"
Shingeki no Kyojin: The Final Season Part 2,8.76,"Action, Drama, Suspense, Gore, Military, Survival, Shounen",#45,#102,"1,370,402","30,716"
Vinland Saga,8.76,"Action, Adventure, Drama, Gore, Historical, Seinen",#46,#72,"1,601,394","50,179"
The First Slam Dunk,8.74,"Award Winning, Sports, School, Team Sports, Shounen",#50,#3092,"54,960",786
Cowboy Bebop,8.75,"Action, Award Winning, Sci-Fi, Adult Cast, Space",#49,#43,"1,920,253","84,374"
Kimetsu no Yaiba: Yuukaku-hen,8.73,"Action, Supernatural, Historical, Shounen",#54,#81,"1,527,241","24,719"
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.71,"Drama, Adult Cast, Historical, Love Polygon, Performing Arts, Josei",#60,#1306,"191,314","3,185"
Kingdom 5th Season,8.73,"Action, Historical, Military, Seinen",#56,#3563,"42,568",495
Mob Psycho 100 III,8.71,"Action, Comedy, Supernatural",#59,#288,"734,968","11,084"
Ashita no Joe 2,8.73,"Drama, Sports, Combat Sports, Shounen",#52,#3082,"55,455","2,841"
Mushishi Zoku Shou 2nd Season,8.72,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",#57,#926,"274,050","1,508"
Shiguang Dailiren,8.73,"Drama, Mystery, Suspense, Adult Cast, Super Power, Time Travel",#51,#610,"398,264","12,453"
Kingdom 4th Season,8.73,"Action, Historical, Military, Seinen",#55,#2694,"70,728","1,094"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.70,"Action, Drama, Romance, Adult Cast, Historical, Samurai, Shounen",#64,#905,"281,356","6,315"
86 Part 2,8.71,"Action, Drama, Sci-Fi, Mecha, Military",#61,#427,"541,555","16,028"
Great Teacher Onizuka,8.68,"Comedy, Delinquents, School, Workplace, Shounen",#67,#218,"853,972","26,934"
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70,"Action, Adventure, Supernatural, Shounen",#62,#795,"316,937","4,573"
Hibike! Euphonium 3,8.73,"Drama, Music, Performing Arts, School",#53,#2570,"76,377","1,356"
Violet Evergarden,8.68,Drama,#68,#46,"1,843,808","63,512"
Mo Dao Zu Shi: Wanjie Pian,8.68,"Action, Adventure, Drama, Fantasy, Mystery, Historical, Mythology, Reincarnation",#66,#2409,"84,788","1,641"
Mushishi Zoku Shou,8.69,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",#65,#829,"307,563","1,594"
Code Geass: Hangyaku no Lelouch,8.70,"Action, Award Winning, Drama, Sci-Fi, Mecha, Military, School, Super Power",#63,#22,"2,311,761","110,394"
Hajime no Ippo: New Challenger,8.67,"Sports, Combat Sports, Shounen",#70,#866,"297,669","1,835"
Howl no Ugoku Shiro,8.67,"Adventure, Award Winning, Drama, Fantasy, Romance",#71,#100,"1,384,462","29,885"
Mononoke Hime,8.66,"Action, Adventure, Award Winning, Fantasy",#72,#106,"1,292,394","22,561"
Mushishi,8.65,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",#73,#220,"852,333","27,231"
Odd Taxi,8.65,"Award Winning, Drama, Mystery, Suspense, Adult Cast, Anthropomorphic, Organized Crime",#75,#514,"455,764","8,544"
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.65,"Adventure, Drama, Fantasy, Ecchi, Isekai, Reincarnation",#74,#166,"990,604","18,851"
Tian Guan Cifu Er,8.67,"Action, Adventure, Drama, Fantasy, Historical, Mythology",#69,#3255,"50,107","1,106"
Haikyuu!! Movie: Gomisuteba no Kessen,8.65,"Sports, School, Team Sports, Shounen",#77,#1594,"152,112","1,333"
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.65,"Action, Fantasy, Urban Fantasy",#76,#674,"366,540","8,167"
Dandadan,8.64,"Action, Comedy, Supernatural, Shounen",#79,#650,"379,178","3,645"
Natsume Yuujinchou Shi,8.64,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",#81,#1014,"251,424","2,036"
Made in Abyss,8.64,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore",#80,#93,"1,432,235","45,209"
Shigatsu wa Kimi no Uso,8.64,"Drama, Romance, Love Polygon, Music, School, Shounen",#82,#23,"2,269,974","86,748"
Bungou Stray Dogs 5th Season,8.63,"Action, Mystery, Adult Cast, Detective, Organized Crime, Super Power, Vampire, Seinen",#86,#1219,"207,369","2,534"
Made in Abyss: Retsujitsu no Ougonkyou,8.62,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore",#89,#495,"474,762","6,358"
One Piece,8.72,"Action, Adventure, Fantasy, Shounen",#58,#17,"2,451,637","229,844"
Natsume Yuujinchou Shichi,8.63,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",#87,#4026,"33,370",282
"""Oshi no Ko"" 2nd Season",8.64,"Drama, Reincarnation, Showbiz, Seinen",#78,#656,"377,066","4,965"
Shiguang Dailiren II,8.63,"Drama, Mystery, Suspense, Adult Cast, Super Power, Time Travel",#83,#1842,"126,435","1,684"
Shingeki no Kyojin Season 3,8.63,"Action, Drama, Suspense, Gore, Military, Survival, Shounen",#84,#18,"2,450,572","21,100"
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,"Comedy, Romance, School, Seinen",#88,#99,"1,388,842","18,876"
Death Note,8.62,"Supernatural, Suspense, Psychological, Shounen",#91,#2,"4,008,688","176,438"
Tengen Toppa Gurren Lagann,8.63,"Action, Adventure, Award Winning, Sci-Fi, Mecha",#85,#66,"1,653,551","79,754"
Dungeon Meshi,8.61,"Adventure, Comedy, Fantasy, Gourmet, Seinen",#95,#611,"397,779","7,590"
"""Oshi no Ko""",8.61,"Award Winning, Drama, Reincarnation, Showbiz, Seinen",#93,#207,"885,405","29,635"
Ping Pong the Animation,8.62,"Award Winning, Drama, Sports, Seinen",#90,#594,"406,746","16,387"
Haikyuu!! Second Season,8.62,"Sports, School, Team Sports, Shounen",#92,#87,"1,472,563","15,803"
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore",#96,#484,"485,868","3,749"
Cyberpunk: Edgerunners,8.61,"Action, Sci-Fi, Gore, Organized Crime",#94,#233,"833,618","27,998"
Natsume Yuujinchou Roku,8.61,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",#97,#1304,"192,110","1,116"
Hajime no Ippo: Rising,8.60,"Sports, Combat Sports, Shounen",#99,#933,"270,784","1,332"
Suzumiya Haruhi no Shoushitsu,8.60,"Award Winning, Mystery, Sci-Fi, Supernatural, School",#98,#365,"621,548","13,710"
Kenpuu Denki Berserk,8.59,"Action, Adventure, Drama, Fantasy, Horror, Gore, Military, Seinen",#100,#310,"692,123","28,883"
Doupo Cangqiong: San Nian Zhi Yue,8.57,"Action, Fantasy, Martial Arts",#110,#7162,"8,349",195
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.57,"Action, Supernatural, Historical, Shounen",#107,#71,"1,613,385","13,275"
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,"Drama, Romance, Supernatural, School",#102,#286,"738,769","10,408"
Mushishi Zoku Shou: Suzu no Shizuku,8.59,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",#101,#1781,"132,222",222
Shin Evangelion Movie:||,8.59,"Action, Award Winning, Drama, Sci-Fi, Suspense, Mecha, Psychological",#103,#630,"389,300","7,694"
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,"Action, Adventure, Organized Crime, Super Power, Shounen",#105,#153,"1,063,917","32,670"
Natsume Yuujinchou San,8.57,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",#109,#989,"258,784","1,452"
Jujutsu Kaisen,8.58,"Action, Award Winning, Supernatural, School, Shounen",#106,#13,"2,692,592","92,700"
Kizumonogatari II: Nekketsu-hen,8.57,"Action, Mystery, Supernatural, Vampire",#108,#510,"459,288","2,381"
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.59,"Action, Sci-Fi, Mecha, Space, Super Power",#104,#1143,"223,122","1,074"
Kimi ni Todoke 3rd Season,8.56,"Drama, Romance, School, Shoujo",#111,#2606,"74,352",574
Natsume Yuujinchou Go,8.56,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",#113,#1303,"192,541",860
Nana,8.56,"Drama, Romance, Adult Cast, Love Polygon, Music, Shoujo",#112,#299,"701,868","31,451"
Ookami Kodomo no Ame to Yuki,8.56,"Award Winning, Slice of Life, Supernatural, Childcare",#114,#236,"829,716","11,493"
Haikyuu!! To the Top Part 2,8.55,"Sports, School, Team Sports, Shounen",#120,#219,"852,359","6,278"
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.55,"Action, Avant Garde, Drama, Sci-Fi, Suspense, Mecha, Psychological",#117,#177,"961,953","29,883"
Shingeki no Kyojin,8.55,"Action, Award Winning, Drama, Suspense, Gore, Military, Survival, Shounen",#116,#1,"4,059,357","175,578"
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.54,"Action, Adventure, Super Power, Shounen",#123,#1117,"228,447","3,089"
Yojouhan Shinwa Taikei,8.56,"Award Winning, Comedy, Mystery, Romance, Suspense, Adult Cast, Psychological, Time Travel",#115,#505,"463,492","18,485"
Shouwa Genroku Rakugo Shinjuu,8.55,"Drama, Historical, Love Polygon, Performing Arts, Josei",#118,#867,"297,626","5,867"
Perfect Blue,8.55,"Avant Garde, Award Winning, Drama, Horror, Suspense, Adult Cast, Psychological, Showbiz",#122,#283,"741,094","20,049"
Kimi no Suizou wo Tabetai,8.55,"Drama, Romance, School",#121,#163,"1,009,432","21,487"
Zoku Natsume Yuujinchou,8.54,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",#124,#1005,"254,016","1,450"
Fate/Zero 2nd Season,8.54,"Action, Fantasy, Urban Fantasy",#125,#136,"1,139,841","20,444"
Slam Dunk,8.55,"Sports, School, Team Sports, Shounen",#119,#811,"312,071","7,517"
Fruits Basket 2nd Season,8.54,"Drama, Romance, Supernatural, School, Shoujo",#126,#430,"533,829","6,177"
Mushishi: Hihamukage,8.53,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",#127,#1673,"143,501",199
Bakuman. 3rd Season,8.52,"Comedy, Drama, Romance, Otaku Culture, Shounen",#131,#746,"335,471","2,953"
Steins;Gate 0,8.53,"Drama, Sci-Fi, Suspense, Time Travel",#128,#201,"895,458","12,084"
Shingeki no Kyojin Season 2,8.52,"Action, Drama, Suspense, Gore, Military, Survival, Shounen",#129,#12,"2,804,175","21,915"
Shoujo☆Kageki Revue Starlight Movie,8.52,"Drama, Music, Performing Arts, School",#130,#4911,"21,492",929
Gintama.: Porori-hen,8.52,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",#133,#1217,"207,609",925
Gintama Movie 1: Shinyaku Benizakura-hen,8.52,"Action, Comedy, Sci-Fi, Historical, Parody, Samurai, Shounen",#132,#1468,"168,120",620
Samurai Champloo,8.51,"Action, Adventure, Comedy, Historical, Samurai",#137,#110,"1,271,603","38,793"
Kara no Kyoukai Movie 5: Mujun Rasen,8.51,"Action, Drama, Fantasy, Mystery, Romance, Suspense, Urban Fantasy",#136,#1038,"243,366","4,605"
Hotaru no Haka,8.52,"Drama, Historical",#134,#301,"701,370","8,372"
Sora yori mo Tooi Basho,8.51,"Adventure, Comedy, Drama, CGDCT",#138,#446,"519,760","14,283"
Yuru Camp△ Season 2,8.51,"Slice of Life, CGDCT, Iyashikei",#139,#1086,"234,960","3,092"
Tian Guan Cifu Special,8.50,"Action, Adventure, Drama, Fantasy, Historical, Mythology",#140,#3171,"52,557",506
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,"Action, Adventure, Super Power, Shounen",#141,#128,"1,162,808","40,625"
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52,"Action, Mystery, Sci-Fi, Adult Cast, Detective, Mecha, Military, Seinen",#135,#1098,"231,611","3,177"
Ousama Ranking,8.50,"Adventure, Fantasy",#142,#317,"680,531","12,983"
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.49,"Award Winning, Drama, Suspense, Mahou Shoujo, Psychological",#143,#624,"391,357","9,104"
One Punch Man,8.49,"Action, Comedy, Adult Cast, Parody, Super Power, Seinen",#145,#4,"3,307,359","65,026"
Spy x Family,8.49,"Action, Award Winning, Comedy, Childcare, Super Power, Shounen",#146,#64,"1,659,235","39,751"
Mob Psycho 100,8.49,"Action, Comedy, Supernatural",#144,#29,"2,148,418","50,026"
Uchuu Kyoudai,8.48,"Comedy, Adult Cast, Space, Workplace, Seinen",#148,#1260,"199,069","3,869"
Yakusoku no Neverland,8.49,"Mystery, Suspense, Psychological, Survival, Shounen",#147,#39,"2,023,889","32,490"
Ansatsu Kyoushitsu 2nd Season,8.48,"Action, Comedy, School, Shounen",#149,#86,"1,474,670","17,673"
Aria the Origination,8.48,"Fantasy, Sci-Fi, Slice of Life, Iyashikei, Shounen",#150,#1771,"132,995","4,192"
Mo Dao Zu Shi: Xian Yun Pian,8.46,"Action, Adventure, Drama, Fantasy, Mystery, Historical, Mythology, Reincarnation",#160,#2051,"109,560","1,255"
Mo Dao Zu Shi,8.46,"Action, Adventure, Drama, Fantasy, Mystery, Historical, Mythology, Reincarnation",#159,#1065,"238,352","6,864"
Chihayafuru 3,8.46,"Drama, Sports, Love Polygon, School, Strategy Game, Josei",#157,#1649,"146,068","1,607"
Summertime Render,8.47,"Mystery, Supernatural, Suspense, Time Travel, Shounen",#154,#394,"575,844","9,694"
Banana Fish,8.46,"Action, Adventure, Drama, Suspense, Delinquents, Organized Crime, Psychological, Shoujo",#156,#202,"894,345","30,791"
Yuu☆Yuu☆Hakusho,8.46,"Action, Supernatural, Martial Arts, Mythology, Shounen",#155,#295,"710,136","23,504"
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.47,"Action, Fantasy, Urban Fantasy",#152,#603,"402,470","3,489"
Chainsaw Man,8.47,"Action, Fantasy, Gore, Urban Fantasy, Shounen",#151,#69,"1,638,170","48,881"
Nichijou,8.47,"Comedy, Gag Humor, School, Shounen",#153,#193,"924,030","24,357"
Gintama: The Semi-Final,8.46,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Shounen",#158,#2467,"81,847",256
Pluto,8.46,"Action, Mystery, Sci-Fi, Suspense, Detective, Psychological, Seinen",#161,#1318,"189,320","2,468"
Rainbow: Nisha Rokubou no Shichinin,8.46,"Drama, Suspense, Delinquents, Historical, Seinen",#162,#598,"404,674","8,435"
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,"Drama, Sci-Fi",#165,#374,"608,397","2,698"
Owarimonogatari,8.45,"Comedy, Mystery, Supernatural, Vampire",#164,#481,"488,695","2,932"
Zoku Owarimonogatari,8.44,"Comedy, Mystery, Supernatural, Vampire",#166,#1078,"235,737","1,017"
Kimetsu no Yaiba,8.45,"Action, Award Winning, Supernatural, Historical, Shounen",#163,#5,"3,153,101","91,872"
Karakai Jouzu no Takagi-san Movie,8.44,"Love Status Quo, School, Shounen",#168,#2472,"81,315",737
Bungou Stray Dogs 4th Season,8.44,"Action, Mystery, Adult Cast, Detective, Organized Crime, Super Power, Seinen",#170,#808,"312,724","3,307"
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.44,"Adventure, Drama, Fantasy, Ecchi, Isekai, Reincarnation",#169,#553,"434,022","3,729"
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,8.44,"Action, Adventure, Super Power, Shounen",#167,#133,"1,151,630","21,068"
Golden Kamuy 3rd Season,8.44,"Action, Adventure, Adult Cast, Historical, Military, Seinen",#171,#1392,"178,089","1,510"
Grand Blue,8.44,"Comedy, Adult Cast, Gag Humor, Seinen",#172,#249,"809,727","20,200"
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.43,"Drama, Fantasy, Suspense, Isekai, Psychological, Time Travel",#175,#188,"940,112","12,834"
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.42,"Adventure, Comedy, Fantasy, Isekai, Parody",#178,#241,"818,980","4,962"
Mushishi Zoku Shou: Odoro no Michi,8.43,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei, Seinen",#174,#2117,"104,232",124
Koukaku Kidoutai: Stand Alone Complex,8.42,"Action, Award Winning, Mystery, Sci-Fi, Adult Cast, Detective, Mecha, Military, Seinen",#179,#596,"405,250","8,678"
Jujutsu Kaisen 0 Movie,8.42,"Action, Supernatural, School, Shounen",#176,#155,"1,047,514","10,503"
Kono Oto Tomare! Part 2,8.42,"Drama, Music, School, Shounen",#177,#1358,"185,588","1,741"
Haikyuu!!,8.44,"Sports, School, Team Sports, Shounen",#173,#37,"2,032,747","75,010"
Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.42,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",#181,#2568,"76,412",207
Wu Liuqi: Xuanwu Guo Pian,8.42,"Action, Adventure, Comedy, Drama, Mystery, Martial Arts, Super Power",#184,#2732,"68,994",827
Tian Guan Cifu,8.42,"Action, Adventure, Drama, Fantasy, Historical, Mythology",#183,#1562,"156,008","5,703"
Saenai Heroine no Sodatekata Fine,8.42,"Comedy, Romance, Harem, Otaku Culture, School",#182,#1310,"190,736","2,647"
Doupo Cangqiong: Nian Fan,8.42,"Action, Adventure, Fantasy, Martial Arts",#185,#7056,"8,624",276
Mononoke,8.42,"Horror, Mystery, Supernatural, Suspense, Adult Cast, Historical, Mythology, Psychological",#180,#734,"339,949","8,561"
One Piece: Gyojin Tou-hen,8.41,"Action, Adventure, Fantasy, Shounen",#189,#5033,"20,202",71
Hunter x Hunter,8.42,"Action, Adventure, Fantasy, Shounen",#187,#376,"608,297","11,315"
Saiki Kusuo no Ψ-nan,8.41,"Comedy, Gag Humor, School, Super Power, Shounen",#190,#134,"1,147,179","30,813"
Gintama: Yorinuki Gintama-san on Theater 2D,8.42,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",#186,#3441,"45,449",44
Ao no Hako,8.41,"Romance, Sports, School, Team Sports, Shounen",#188,#1678,"142,133","1,086"
Saiki Kusuo no Ψ-nan 2,8.41,"Comedy, Gag Humor, School, Super Power, Shounen",#191,#330,"665,288","4,274"
Girls Band Cry,8.40,"Drama, Music",#195,#2356,"87,223","1,882"
Yuru Camp△ Movie,8.40,"Slice of Life, Adult Cast, CGDCT, Iyashikei",#194,#2403,"85,062",459
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41,Drama,#193,#538,"440,921","1,622"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.40,"Comedy, Romance, School, Seinen",#196,#51,"1,797,477","40,346"
Shingeki no Kyojin: Kuinaki Sentaku,8.41,Action,#192,#434,"532,101","1,986"
Kamisama Hajimemashita: Kako-hen,8.40,"Comedy, Romance, Supernatural, Mythology, Time Travel, Shoujo",#197,#1425,"172,977","1,052"
Karakai Jouzu no Takagi-san 3,8.39,"Comedy, Love Status Quo, School, Shounen",#200,#1283,"195,151","2,336"
Josee to Tora to Sakana-tachi,8.39,"Drama, Romance, Adult Cast, Visual Arts",#199,#515,"455,223","6,415"
Natsume Yuujinchou Roku Specials,8.40,"Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",#198,#3277,"49,389",77
Major S5,8.39,"Sports, Team Sports, Shounen",#201,#2652,"72,484",637
Cowboy Bebop: Tengoku no Tobira,8.38,"Action, Sci-Fi, Adult Cast, Space",#207,#632,"388,364","1,647"
Blue Giant,8.39,"Music, Seinen",#204,#4054,"32,948",319
Fruits Basket: Prelude,8.38,"Drama, Romance, Shoujo",#208,#1983,"114,902",832
Kaze ga Tsuyoku Fuiteiru,8.38,"Drama, Sports, Adult Cast, Racing",#210,#816,"310,888","6,175"
Chihayafuru 2,8.38,"Drama, Sports, Love Polygon, School, Strategy Game, Josei",#206,#1053,"240,846","1,645"
Vivy: Fluorite Eye's Song,8.39,"Action, Sci-Fi, Suspense, Music, Time Travel",#203,#413,"560,565","10,932"
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.39,"Drama, Fantasy",#202,#524,"451,200","7,840"
Gintama°: Aizome Kaori-hen,8.38,"Comedy, Gag Humor, Parody, Shounen",#209,#2347,"87,878",139
Houseki no Kuni,8.39,"Action, Drama, Fantasy, Mystery, Anthropomorphic, Seinen",#205,#489,"479,275","13,929"
Made in Abyss Movie 2: Hourou Suru Tasogare,8.38,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore",#211,#1647,"146,321",265
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.37,"Action, Fantasy, Mystery, Romance, Suspense, Urban Fantasy",#213,#1205,"210,974","2,308"
Mahou Shoujo Madoka★Magica,8.37,"Award Winning, Drama, Suspense, Mahou Shoujo, Psychological",#215,#104,"1,324,225","56,582"
Ramayana: The Legend of Prince Rama,8.38,Adventure,#212,#6097,"12,315",215
3-gatsu no Lion,8.37,"Drama, Childcare, Strategy Game, Seinen",#217,#307,"694,870","15,857"
Barakamon,8.37,"Slice of Life, Childcare, Iyashikei, Visual Arts",#218,#319,"678,972","13,059"
Cross Game,8.37,"Drama, Romance, Sports, School, Team Sports, Shounen",#219,#1830,"126,964","3,045"
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37,"Drama, Suspense, Mahou Shoujo, Psychological",#216,#1212,"208,239","1,081"
Kono Subarashii Sekai ni Shukufuku wo! 3,8.37,"Adventure, Comedy, Fantasy, Isekai, Parody",#214,#523,"451,765","5,167"
